服务器IP,巡检时间,连接状态,CPU使用率,内存使用率,磁盘使用率,TCP监听端口,进程状态,Docker状态,运行中容器数,总容器数,镜像数,镜像列表,目标目录状态
49.235.161.106,2026-03-28 13:57:18,密钥认证成功 (C:\Users\HUAWEI/.ssh/id_rsa),0.00%,13.17%,/:16%; /var/lib/docker/overlay2/1eaede798b780c96e613c1e86848ef0d34999082e3885ad57ab761785331c72b/merged:16%; /var/lib/docker/overlay2/7596ec9851e9512695f86bd3cec63eeff5ad3cba5e62ca3716ec169197c51ba6/merged:16%,"22, 25, 10011, 10014",进程总数: 117,"运行中: 2, 总容器: 4, 镜像: 33",2,4,33,"account-book:latest, <none>:<none>, <none>:<none>, xiaoyaopu-frontend:latest, xiaoyaopu-backend:latest","存在, 文件数: 12, 大小: 103M"
49.235.161.106,2026-03-28 14:09:27,密钥认证成功 (C:\Users\HUAWEI/.ssh/id_rsa),1.60%,13.16%,/:16%; /var/lib/docker/overlay2/1eaede798b780c96e613c1e86848ef0d34999082e3885ad57ab761785331c72b/merged:16%; /var/lib/docker/overlay2/7596ec9851e9512695f86bd3cec63eeff5ad3cba5e62ca3716ec169197c51ba6/merged:16%,"22, 25, 10011, 10014",进程总数: 118,"运行中: 2, 总容器: 4, 镜像: 33",2,4,33,"account-book:latest, <none>:<none>, <none>:<none>, xiaoyaopu-frontend:latest, xiaoyaopu-backend:latest, apps-xiaoyaopu-backend:latest, apps-xiaoyaopu-frontend:latest, <none>:<none>, <none>:<none>, xiaoyaopu-app:10011","存在, 文件数: 12, 大小: 103M"
